SCHOOL NAME ,REGION,LOCATION,GENDER,BUSINESS COURSE,TECHINICAL COURSE,AGRICULTURE SCIENCE COURSE,GENERAL ARTS COURSE,VISUAL ARTS COURSE,HOME ECONOMICS COURSE,GENERAL SCIENCE COURSE,NUMBER OF COURSES OFFERED,STATUS
Okuapeman Senior High,EASTERN,Akropong,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Benkum Senior High,EASTERN,Larteh-Akwapim,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Mampong/Akw Snr. High/Tech for the Deaf,EASTERN,Mampong,Mixed,No,Yes,No,Yes,Yes,Yes,No,4,Day
"Presby  Senior High/Tech, Larteh",EASTERN,Larteh-Kubease,Mixed,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Day
H'Mount Sinai Senior High,EASTERN,Akropong,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
"Presby Senior High/Tech, Adukrom",EASTERN,Adukrom,Mixed,No,Yes,Yes,Yes,Yes,Yes,Yes,6,Day
"Presby Senior High, Mampong Akwapim ",EASTERN,MampongAkwapim,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
Mangoase Senior High,EASTERN,Mangoase,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
"Methodist Girls Senior High, Mamfe",EASTERN,Mamfe,Girls,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Asamankese Senior High,EASTERN,Asamankese,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
St. Thomas Senior High/Tech,EASTERN,Asamankese,Mixed,No,Yes,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Adeiso Presby Senior High,EASTERN,Adeiso,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Kwaobaah Nyanoa Comm. Senior High,EASTERN,Nyanoa,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Oda Senior High,EASTERN,Akim Oda,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Akim Swedru Senior High,EASTERN,Akim Swedru,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
"St. Francis Senior High/Tech, Akim Oda",EASTERN,Akim Oda,Mixed,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Day/Boarding
Achiase Senior High,EASTERN,Achiase,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Attafuah Senior High/Tech,EASTERN,Akim Oda,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Akroso Senior High/Tech,EASTERN,Akroso,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Atweaman Senior High,EASTERN,Akim Manso,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day/Boarding
Aperade Senior  High/Tech.,EASTERN,Akim Aperade,Mixed,Yes,No,No,Yes,No,Yes,No,3,Day
Akokoaso Senior High/Tech,EASTERN,Akim Akokoaso,Mixed,Yes,Yes,Yes,Yes,No,Yes,No,5,Day
New Abirem/Afosu Senior High,EASTERN,New Abirem,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
Ayirebi Senior High,EASTERN,Ayirebi,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day/Boarding
"St. Michael's Senior High, Akoase (Nkawkaw)",EASTERN,"Akoase, Nkawkaw",Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day
Anum Presby Senior High,EASTERN,Anum,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Adjena Senior High/Tech.,EASTERN,Adjena,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,No,6,Day
Akwamuman Senior High,EASTERN,AtimpokuAkosombo,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Boso Senior High Technical,EASTERN,Boso,Mixed,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Day/Boarding
Apeguso Senior High,EASTERN,Apeguso,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Anum Apapam Comm. Day,EASTERN,Anum Apapam,Mixed,Yes,No,Yes,Yes,No,No,Yes,4,Day
Donkorkrom Agric Senior High,EASTERN,Donkorkrom,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
St. Fidelis Senior High/Tech,EASTERN,Tease,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
Mem-Chemfre Comm. Senior High,EASTERN,Mem-Chemfre,Mixed,No,Yes,Yes,Yes,No,Yes,Yes,5,Day
Maame Krobo Comm. Senior High,EASTERN,Maame Krobo,Mixed,Yes,No,Yes,Yes,No,No,Yes,4,Day
Abetifi Presby Senior High,EASTERN,Abetifi,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
Mpraeso Senior High,EASTERN,Mpraeso,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
"St. Peter's Senior High, Nkwatia",EASTERN,Nkwatia,Boys,Yes,No,Yes,Yes,No,No,Yes,4,Day/Boarding
Nkawkaw Senior High,EASTERN,Nkawkaw,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Kwahu Ridge Senior High,EASTERN,Obo-Kwahu,Mixed,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Day/Boarding
Nkwatia Presby Senior High/Com,EASTERN,Nkwatia,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
"St. Paul's Senior High, Asakraka Kwahu ",EASTERN,Asakraka-Kwahu,Mixed,Yes,No,No,Yes,Yes,Yes,No,4,Day
"St. Dominic's Senior High/Tech, Pepease",EASTERN,Pepease,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Bepong Senior High School,EASTERN,Bepong,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day/Boarding
Kwahu Tafo Senior High,EASTERN,Kwahu Tafo,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Fodoa Comm. Senior High,EASTERN,Fodoa Nkawkaw,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Asuom Senior High,EASTERN,Asuom,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Kade Senior High/Tech.,EASTERN,Kade,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,6,Day
"St. Rose's Senior High, Akwatia",EASTERN,Akwatia,Girls,No,No,No,Yes,No,Yes,Yes,3,Day/Boarding
"Salvation Army Senior High, Akim Wenchi",EASTERN,Akim Wenchi,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Tarkrosi Comm. Senior High,EASTERN,Tarkrosi,Mixed,Yes,No,Yes,Yes,No,No,Yes,4,Day
"Presby Senior High, Begoro",EASTERN,Begoro,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Osino Presby Senior High/Tech.,EASTERN,Osino,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
New Nsutam Senior High/Tech,EASTERN,New Nsutam,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,No,6,Day/Boarding
"W.B.M. Zion Senior High, Old Tafo",EASTERN,Old Tafo,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Ofori Panin Senior High,EASTERN,Kukurantumi,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Abuakwa State College,EASTERN,Kibi,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
"St. Stephen's Presby Snr. High/Tech, Asiakwa",EASTERN,Asiakwa,Mixed,Yes,Yes,No,Yes,Yes,Yes,No,5,Day
Kibi Senior High/Tech,EASTERN,Kibi,Mixed,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Day/Boarding
Akim Asafo Senior High,EASTERN,Akim Asafo,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Kwabeng Anglican Senior High/Tech,EASTERN,Kwabeng,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day
"Saviour Senior High, Osiem ",EASTERN,Osiem,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Apedwa Presby Senior High,EASTERN,Apedwa,Mixed,No,No,No,Yes,No,Yes,No,2,Day
Yilo Krobo Senior High/Com,EASTERN,Somanya,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Klo-Agogo Senior High,EASTERN,Klo-Agogo,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day
Krobo Girls Senior High,EASTERN,Odumase,Girls,Yes,No,No,Yes,Yes,Yes,Yes,5,Day/Boarding
Manya Krobo Senior High,EASTERN,New Nuaso,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Asesewa Senior High School,EASTERN,Asesewa,Mixed,Yes,No,Yes,Yes,No,Yes,Yes,5,Day
Akuse Methodist Senior High/Tech,EASTERN,Akuse,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Akro Senior High/Tech,EASTERN,Odumase,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,No,6,Day/Boarding
S.D.A. Senior High. Akim Sekyere,EASTERN,Akim Sekyere,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,5,Day
"St. Augustine's College, Cape Coast",CENTRAL,Cape Coast,Boys,Yes,No,Yes,Yes,No,No,Yes,4,Day/Boarding
Adisadel College,CENTRAL,Cape Coast,Boys,Yes,No,No,Yes,Yes,No,Yes,4,Day
"Holy Child School, Cape Coast",CENTRAL,Cape Coast,Girls,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Mfantsipim School,CENTRAL,Cape Coast,Boys,No,Yes,No,Yes,Yes,No,Yes,4,Day
University Practice Senior High,CENTRAL,Cape Coast,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Ghana National College,CENTRAL,Cape Coast,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
"Wesley Girls Senior High, Cape Coast",CENTRAL,Cape Coast,Girls,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Oguaa Senior High/Tech,CENTRAL,Cape Coast,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
"Academy of Christ the King, Cape Coast",CENTRAL,Cape Coast,Mixed,Yes,No,No,Yes,Yes ,Yes,Yes,5,Day
Effutu Senior High/Tech,CENTRAL,Cape Coast,Mixed,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Day/Boarding
Edinaman Senior High,CENTRAL,Elmina,Mixed,Yes,No,No,Yes,Yes,Yes,Yes,5,Day
Eguafo-Abrem Senior High,CENTRAL,Eguafo Abirem,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day
Komenda Senior High/Tech.,CENTRAL,Komenda,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,Day/Boarding
Mfantsiman Girls Senior High,CENTRAL,Saltpond,Girls,Yes,No,Yes,Yes,Yes,Yes,Yes,6,Day/Boarding
Ekumfi T. I. Ahmadiiyya Snr. High,CENTRAL,Esakyir,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,6,Day/Boarding
